I,11,ACEH
12.10.02, 2 Rantau Selatan
"",Kualuh Hulu
"",Aek Natas
"",NA. IX-X
"",Marbau
12.10.07, 3 Bilah Barat
12.10.08, 4 Bilah Hilir
12.10.09, 5 Bilah Hulu
"",Kampung Rakyat
"",Silangkitang
"",Kota Pinang
"",Torgamba
12.10.14, 6 Pangkatan
"",Sei Kanan
"",Kualuh Hilir
"",Kuala Leidong
12.10.18, 7 Panai Tengah
12.10.19, 8 Panai Hilir
12.10.20, 9 Panai Hulu
"",Kualuh Selatan
"",Aek Kuo
12.11, 11 KAB. DAIRI
12.11.01, 1 Sidikalang
12.11.02, 2 Sumbul
12.11.03, 3 Tigalingga
12.11.04, 4 Siempat Nempu
12.11.05, 5 Silima Pungga Punga
12.11.06, 6 Tanah Pinem
12.11.07, 7 Siempat Nempu Hulu
12.11.08, 8 Siempat Nempu Hilir
12.11.09, 9 Pegagan Hilir
12.11.10, 10 Parbuluan
12.11.11, 11 Lae Parira
12.11.12, 12 Gunung Sitember
12.11.13, 13 Brampu
12.11.14, 14 Silahisabungan
12.11.15, 15 Sitinjo
12.12, 12 KAB. TOBA SAMOSIR
12.12.01, 1 Balige
12.12.02, 2 Laguboti
12.12.03, 3 Silaen
12.12.04, 4 Habinsaran
12.12.05, 5 Pintu Pohan Meranti
"", 6
12.12.06,Borbor
12.12.07, 7 Porsea
12.12.08, 8 Ajibata
12.12.09, 9 Lumban Julu
12.12.10, 10 Uluan
"",Ronggur Nihuta
"",Sianjar Mula Mula
"",Pangururan
"",Harian
"",Palipi
"",Nainggolan
"",Onan Runggu
"",Simanindo
12.12.19, 11 Sigumpar
12.12.20, 12 Siantar Narumonda
12.12.21, 13 Nassau
12.12.22, 14 Tampahan
12.12.23, 15 Bonatua Lunasi
12.12.24, 16 Parmaksian
12.13, 13 KAB. MANDAILING NATAL
12.13.01, 1 Panyabungan Kota
12.13.02, 2 Panyabungan Utara
12.13.03, 3 Panyabungan Timur
12.13.04, 4 Panyabungan Selatan
12.13.05, 5 Panyabungan Barat
12.13.06, 6 Siabu
12.13.07, 7 Bukit Malintang
12.13.08, 8 Kotanopan
12.13.09, 9 Lembah Sorik Marapi
12.13.10, 10 Tambangan
12.13.11, 11 Ulu Pungkut
12.13.12, 12 Muara Sipongi
12.13.13, 13 Batang Natal
12.13.14, 14 Lingga Bayu
12.13.15, 15 Batahan
12.13.16, 16 Natal
12.13.17, 17 Muara Batang Gadis
12.13.18, 18 Ranto Baek
12.13.19, 19 Huta Bargot
12.13.20, 20 Puncak Sorik Marapi
"", 21
12.13.21,Pakantan
12.13.22, 22 Sinunukan
12.13.23, 23 Naga Juang
12.14, 14 KAB. NIAS SELATAN
12.14.01, 1 Lolomatua
12.14.02, 2 Gomo
12.14.03, 3 Lahusa
12.14.04, 4 Hibala
12.14.05, 5 Pulau-Pulau Batu
12.14.06, 6 Teluk Dalam
12.14.07, 7 Amandraya
12.14.08, 8 Lalowa'u
12.14.09, 9 Susua
12.14.10, 10 Maniamolo
12.14.11, 11 Hilimegai
12.14.12, 12 Toma
12.14.13, 13 Mazino
12.14.14, 14 Umbunasi
12.14.15, 15 Aramo
12.14.16, 16 Pulau-Pulau Batu Timur
12.14.17, 17 Mazo
12.14.18, 18 Fanayama
12.14.19, 19 Ulunoyo
12.14.20, 20 Huruna
12.14.21, 21 O'o'u
12.14.22, 22 Onohazumba
12.14.23, 23 Hilisalawa'ahe
12.14.24, 24 Ulususua
12.14.25, 25 Sidua'ori
12.14.26, 26 Somambawa
12.14.27, 27 Boronadu
12.14.28, 28 Simuk
12.14.29, 29 Pulau-Pulau Batu Barat
12.14.30, 30 Pulau-Pulau Batu Utara
12.14.31, 31 Tanah Masa
12.15, 15 KAB. PAKPAK BHARAT
12.15.01, 1 Sitelu Tali Urang Jehe
12.15.02, 2 Kerajaan
12.15.03, 3 Salak
"", 4
12.15.04,Sitelu Tali Urang Julu
12.15.05, 5 Pergetteng Getteng Sengkut
12.15.06, 6 Pagindar
12.15.07, 7 Tinada
12.15.08, 8 Siempat Rube
12.16, 16 KAB. HUMBANG HASUNDUTAN
12.16.01, 1 Parlilitan
12.16.02, 2 Pollung
12.16.03, 3 Baktiraja
12.16.04, 4 Paranginan
12.16.05, 5 Lintong Nihuta
12.16.06, 6 Dolok Sanggul
12.16.07, 7 Sijamapolang
12.16.08, 8 Onan Ganjang
12.16.09, 9 Pakkat
12.16.10, 10 Tarabintang
12.17, 17 KAB. SAMOSIR
12.17.01, 1 Simanindo
12.17.02, 2 Onan Runggu
12.17.03, 3 Nainggolan
12.17.04, 4 Palipi
12.17.05, 5 Harian
12.17.06, 6 Sianjar Mula Mula
12.17.07, 7 Ronggur Nihuta
12.17.08, 8 Pangururan
12.17.09, 9 Sitio-tio
12.18, 18 KAB. SERDANG BEDAGAI
12.18.01, 1 Pantai Cermin
12.18.02, 2 Perbaungan
12.18.03, 3 Teluk Mengkudu
12.18.04, 4 Sei. Rampah
12.18.05, 5 Tanjung Beringin
12.18.06, 6 Bandar Khalifah
12.18.07, 7 Dolok Merawan
12.18.08, 8 Sipispis
12.18.09, 9 Dolok Masihul
12.18.10, 10 Kotarih
12.18.11, 11 Silinda
12.18.12, 12 Serba Jadi
"", 13
12.18.13,Tebing Tinggi
12.18.14, 14 Pegajahan
12.18.15, 15 Sei Bamban
12.18.16, 16 Tebing Syahbandar
12.18.17, 17 Bintang Bayu
12.19, 19 KAB. BATU BARA
12.19.01, 1 Medang Deras
12.19.02, 2 Sei Suka
12.19.03, 3 Air Putih
12.19.04, 4 Lima Puluh
12.19.05, 5 Talawi
12.19.06, 6 Tanjung Tiram
12.19.07, 7 Sei Balai
12.20, 20 KAB. PADANG LAWAS UTARA
12.20.01, 1 Dolok Sigompulon
12.20.02, 2 Dolok
12.20.03, 3 Halongonan
12.20.04, 4 Padang Bolak
12.20.05, 5 Padang Bolak Julu
12.20.06, 6 Portibi
12.20.07, 7 Batang Onang
12.20.08, 8 Simangambat
12.20.09, 9 Hulu Sihapas
12.21, 21 KAB. PADANG LAWAS
12.21.01, 1 Sosopan
12.21.02, 2 Barumun Tengah
12.21.03, 3 Huristak
12.21.04, 4 Lubuk Barumun
12.21.05, 5 Huta Raja Tinggi
12.21.06, 6 Ulu Barumun
12.21.07, 7 Barumun
12.21.08, 8 Sosa
12.21.09, 9 Batang Lubu Sutam
12.21.10, 10 Barumun Selatan
12.21.11, 11 Aek Nabara Barumun
12.21.12, 12 Sihapas Barumun
12.22, 22 KAB. LABUHANBATU SELATAN
12.22.01, 1 Kotapinang
12.22.02, 2 Kampung Rakyat
"", 3
12.22.03,Torgamba
12.22.04, 4 Sungai Kanan
12.22.05, 5 Silangkitang
12.23, 23 KAB. LABUHANBATU UTARA
12.23.01, 1 Kualuh Hulu
12.23.02, 2 Kualuh Leidong
12.23.03, 3 Kualuh Hilir
12.23.04, 4 Aek Kuo
12.23.05, 5 Marbau
12.23.06, 6 Na IX - X
12.23.07, 7 Aek Natas
12.23.08, 8 Kualuh Selatan
12.24, 24 KAB. NIAS UTARA
12.24.01, 1 Lotu
12.24.02, 2 Sawo
12.24.03, 3 Tuhemberua
12.24.04, 4 Sitolu Ori
12.24.05, 5 Namohalu Esiwa
12.24.06, 6 Alasa Talumuzoi
12.24.07, 7 Alasa
12.24.08, 8 Tugala Oyo
12.24.09, 9 Afulu
12.24.10, 10 Lahewa
12.24.11, 11 Lahewa Timur
12.25, 25 KAB. NIAS BARAT
12.25.01, 1 Lahomi
12.25.02, 2 Sirombu
12.25.03, 3 Mandrehe Barat
12.25.04, 4 Moro'o
12.25.05, 5 Mandrehe
12.25.06, 6 Mandrehe Utara
12.25.07, 7 Lolofitu Moi
12.25.08, 8 Ulu Moro'o
12.71, 26 KOTA MEDAN
12.71.01, 1 Medan Kota
12.71.02, 2 Medan Sunggal
12.71.03, 3 Medan Helvetia
12.71.04, 4 Medan Denai
12.71.05, 5 Medan Barat
"", 6
12.71.06,Medan Deli
12.71.07, 7 Medan Tuntungan
12.71.08, 8 Medan Belawan
12.71.09, 9 Medan Amplas
12.71.10, 10 Medan Area
12.71.11, 11 Medan Johor
12.71.12, 12 Medan Marelan
12.71.13, 13 Medan Labuhan
12.71.14, 14 Medan Tembung
12.71.15, 15 Medan Maimun
12.71.16, 16 Medan Polonia
12.71.17, 17 Medan Baru
12.71.18, 18 Medan Perjuangan
12.71.19, 19 Medan Petisah
12.71.20, 20 Medan Timur
12.71.21, 21 Medan Selayang
12.72, 27 KOTA PEMATANG SIANTAR
12.72.01, 1 Siantar Timur
12.72.02, 2 Siantar Barat
12.72.03, 3 Siantar Utara
12.72.04, 4 Siantar Selatan
12.72.05, 5 Siantar Marihat
12.72.06, 6 Siantar Martoba
12.72.07, 7 Siantar Sitalasari
12.72.08, 8 Siantar Marimbun
12.73, 28 KOTA SIBOLGA
12.73.01, 1 Sibolga Utara
12.73.02, 2 Sibolga Kota
12.73.03, 3 Sibolga Selatan
12.73.04, 4 Sibolga Sambas
